fold,circ_mae,circ_ape,long_mae,long_ape
1,6.708171844482422,14.972206115722656,2.7624926567077637,5.926990032196045
2,7.802639007568359,19.536964416503906,2.866982936859131,7.465563774108887
3,5.108554840087891,6.117918014526367,2.398451328277588,3.4741103649139404
4,7.422648906707764,16.871126174926758,3.036048412322998,6.955594062805176
5,4.7871994972229,11.2692289352417,1.922362208366394,3.591222047805786
6,7.594960689544678,22.528331756591797,3.143145799636841,5.8813252449035645
7,5.831264495849609,12.58983325958252,2.33345103263855,7.076897621154785
8,5.8565850257873535,12.576255798339844,2.2131316661834717,4.7339701652526855
9,5.639806747436523,12.76225757598877,2.3272528648376465,4.809728622436523
10,6.265898704528809,13.793722152709961,2.6834006309509277,5.324978828430176
